"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"특성별(1)",특성별(2),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원),사례수 (개),R&D 투자여부 (%),R&D 투자여부 (%),전체 투자금액 (백만원),평균 투자금액 (백만원),평균 투자금액 (백만원)
"특성별(1)",특성별(2),소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업,소계,투자함,투자안함,소계,전체 기업,투자 실적있는 기업
"업력별",7～20년미만,1229,32.2,67.8,1010099,833.7,2597.1,1398,32.4,67.6,1235372,863.8,2681.8,1644,27.5,72.5,2352060,1343.9,4932.6,1707,25.2,74.8,1465118,858.2,3399.3,1585,25.4,74.6,1385157,873.9,3439.8,1673,22.3,77.7,1156877,691.6,3098.5,1991,22.7,77.3,1413029,709.6,3119.3,1766,18.8,81.2,2103130,1191.1,6341.6,2012,19.8,80.2,2173403,1080.3,5469.2
"업력별",20～30년미만,576,44.8,55.2,1411661,2363.6,5300.3,633,47.5,52.5,1019321,1493.2,3142.6,679,34.4,65.6,692934,932.8,2710.0,926,39.3,60.7,1128989,1219.8,3102.2,997,41.5,58.5,1794092,1799.0,4336.4,1185,34.0,66.0,2076336,1752.8,5162.9,1217,34.0,66.0,2162941,1776.9,5222.6,1271,35.7,64.3,2110965,1661.3,4656.3,1250,34.1,65.9,2048472,1638.2,4797.4
"업력별",30～40년미만,351,51.0,49.0,652376,1607.4,3150.9,414,54.8,45.2,999470,2451.5,4471.4,459,54.1,45.9,985879,1918.0,3564.8,657,47.9,52.1,1537173,2339.6,4888.4,759,46.9,53.1,1477676,1947.9,4154.4,786,41.2,58.8,1340893,1705.2,4140.7,880,40.9,59.1,1637714,1861.4,4555.1,985,42.2,57.8,1657217,1682.4,3983.2,948,35.8,64.2,2149792,2268.0,6331.8
"업력별",40～50년미만,270,61.2,38.8,776956,2244.5,3665.6,328,69.3,30.7,1313429,3238.2,4675.0,340,57.1,42.9,1011447,2495.1,4366.9,452,57.3,42.7,1989372,4401.7,7685.0,478,58.5,41.5,1527577,3192.6,5460.9,530,51.5,48.5,1124776,2121.9,4120.8,586,56.4,43.6,1337806,2282.9,4047.6,567,51.6,48.4,974883,1719.8,3329.8,550,52.9,47.1,1228113,2234.8,4225.6
"업력별",50년이상,189,64.1,35.9,831572,3988.5,6220.8,244,64.4,35.6,1269363,4708.0,7309.4,275,60.3,39.7,1350152,4607.6,7692.3,478,54.8,45.2,1237354,2587.5,4725.3,469,52.6,47.4,1266510,2701.7,5131.4,601,54.9,45.1,1910123,3175.8,5787.8,524,52.9,47.1,1365967,2608.9,4931.2,552,56.3,43.7,2101975,3804.9,6752.9,575,53.8,46.2,1842717,3202.4,5950.5
"성장단계별",진입1～3년차,890,31.4,68.6,790811,1093.0,3477.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"성장단계별",진입4～5년차,1042,44.4,55.6,1142435,1037.4,2338.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"성장단계별",진입6～9년차,656,40.1,59.9,1210004,1752.8,4388.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"성장단계별",진입10년차이상,391,61.1,38.9,1792631,3901.2,6399.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"매출유형별",B2B,2373,45.4,54.6,4274074,1804.8,3984.2,2832,47.4,52.6,5516164,1951.9,4126.9,3223,40.3,59.7,6806279,2118.0,5278.3,3599,41.7,58.3,7292707,2026.1,4863.2,3680,42.8,57.2,6817744,1852.4,4323.7,4028,38.7,61.3,6572105,1631.6,4213.9,4386,38.8,61.2,7640860,1742.2,4486.8,4485,37.8,62.2,8461818,1886.7,4997.3,4360,37.3,62.7,8592458,1970.5,5280.5
