date,GDP,ICT_Production,ICT_Investment,CCSI,BSI_Composite,Corporate_Loan_Rate,Equipment_Investment_Index,productivity_index,Exchange_Rate,BSI_6M_MA,GDP_12M_MA,Exchange_Rate_12M_Std,CCSI_3M_Momentum,ICT_Prod_6M_Momentum,Loan_Rate_Lag_3M,Ad_Sentiment_DI
2007-06-01,355326.6666666667,23577.86666666667,10275.866666666669,107.0,85.33333333333333,6.47,65.35,95.7,,85.33333333333333,345995.425,,3.6666666666666856,1358.5,6.41,24.112121212121224
2007-07-01,356718.2,23904.7,10318.6,108.0,85.33333333333333,6.46,68.4,95.7,,85.33333333333333,347569.375,,3.0,1555.5,6.37,27.209090909090925
2007-08-01,359059.56666666665,24157.666666666668,10349.733333333334,106.33333333333331,85.33333333333333,6.59,70.15,95.7,,85.33333333333333,349260.5027777778,,0.3333333333333144,1616.7999999999993,6.51,30.306060606060626
2007-09-01,361400.93333333335,24410.63333333333,10380.866666666669,104.66666666666669,85.33333333333333,6.74,65.7,95.7,,85.33333333333333,351068.80833333335,,-2.3333333333333144,1678.0999999999983,6.47,33.40303030303033
2007-10-01,363742.3,24663.6,10412.0,103.0,85.33333333333333,6.82,71.0,95.7,,85.33333333333333,352994.2916666667,,-5.0,1739.3999999999978,6.46,36.50000000000003
2007-11-01,364656.4666666667,24792.5,10460.2,102.66666666666669,85.33333333333333,6.82,70.75,95.7,,85.33333333333333,354828.2194444444,,-3.6666666666666288,1541.4666666666672,6.59,39.59696969696974
2007-12-01,365570.6333333333,24921.4,10508.4,102.33333333333331,85.33333333333333,7.16,75.45,95.7,,85.33333333333333,356570.5916666666,,-2.3333333333333712,1343.5333333333328,6.74,42.69393939393944
2008-01-01,366484.8,25050.3,10556.6,102.0,85.33333333333333,7.26,67.5,95.7,,85.33333333333333,358221.4083333334,,-1.0,1145.5999999999983,6.82,45.79090909090914
2008-02-01,366929.4666666667,25154.1,10449.3,96.33333333333331,85.33333333333333,6.93,66.15,95.7,,85.33333333333333,359746.2638888888,,-6.333333333333371,996.4333333333308,6.82,45.79090909090914
2008-03-01,367374.1333333333,25257.9,10342.0,90.66666666666669,85.33333333333333,6.92,71.8,95.7,,85.33333333333333,361145.15833333327,,-11.666666666666629,847.2666666666701,7.16,45.79090909090914
